Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A12003A_001,SE_A12003A_002,SE_A12003A_003,SE_A12003B_001,SE_A12003B_002,SE_A12003B_003,SE_A17005A_001,SE_A17005A_002,SE_A17005A_003,SE_A17005B_001,SE_A17005B_002,SE_A17005B_003,SE_A17006A_001,SE_A17006A_002,SE_A17006A_003,SE_A17006B_001,SE_A17006B_002,SE_A17006B_003,SE_A17006C_001,SE_A17006C_002,SE_A17006C_003,SE_A17006D_001,SE_A17006D_002,SE_A17006D_003,SE_A17006H_001,SE_A17006H_002,SE_A17006H_003
"36117","05000US36117","Wayne County, New York","Wayne County, New York","ny","050","00","ACSSF","0000071",,,,,"36","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2235,139,2096,2161,72,2089,24558,22701,1857,21617,20508,1109,43682,41132,2550,1048,770,278,54,54,0,344,331,13,1732,1554,178
"36119","05000US36119","Westchester County, New York","Westchester County, New York","ny","050","00","ACSSF","0000072",,,,,"36","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26755,841,25914,26163,651,25512,268545,250796,17749,244253,228900,15353,332319,313958,18361,75768,68287,7481,2147,1979,168,31992,30338,1654,124810,115606,9204
"36121","05000US36121","Wyoming County, New York","Wyoming County, New York","ny","050","00","ACSSF","0000073",,,,,"36","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,77,924,804,3,801,10558,9746,812,9089,8626,463,19098,17963,1135,169,103,66,71,63,8,58,36,22,344,300,44
"36123","05000US36123","Yates County, New York","Yates County, New York","ny","050","00","ACSSF","0000074",,,,,"36","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,733,186,547,843,201,642,6200,5786,414,5856,5545,311,11736,11026,710,126,113,13,31,31,0,22,20,2,226,215,11
"39001","05000US39001","Adams County, Ohio","Adams County, Ohio","oh","050","00","ACSSF","0000013",,,,,"39","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620,29,591,683,24,659,5880,5419,461,5059,4705,354,10669,9894,775,103,99,4,45,20,25,55,55,0,121,121,0
"39003","05000US39003","Allen County, Ohio","Allen County, Ohio","oh","050","00","ACSSF","0000014",,,,,"39","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3176,155,3021,2702,59,2643,27529,25503,2026,24579,22848,1731,44380,41845,2535,5590,4673,917,110,105,5,407,401,6,1450,1249,201
"39005","05000US39005","Ashland County, Ohio","Ashland County, Ohio","oh","050","00","ACSSF","0000015",,,,,"39","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660,128,1532,1681,88,1593,13701,13085,616,12465,11985,480,25459,24383,1076,207,195,12,4,4,0,154,151,3,319,319,0
"39007","05000US39007","Ashtabula County, Ohio","Ashtabula County, Ohio","oh","050","00","ACSSF","0000016",,,,,"39","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2506,187,2319,2363,240,2123,23009,20867,2142,20206,19136,1070,41057,37960,3097,1207,1168,39,87,42,45,236,236,0,1363,1289,74
"39009","05000US39009","Athens County, Ohio","Athens County, Ohio","oh","050","00","ACSSF","0000017",,,,,"39","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3964,22,3942,4952,32,4920,15097,13785,1312,14950,13649,1301,27530,25129,2401,859,805,54,77,77,0,812,740,72,550,513,37
"39011","05000US39011","Auglaize County, Ohio","Auglaize County, Ohio","oh","050","00","ACSSF","0000018",,,,,"39","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226,6,1220,1064,54,1010,13052,12588,464,11002,10641,361,23526,22751,775,58,52,6,22,22,0,137,137,0,316,306,10
"39013","05000US39013","Belmont County, Ohio","Belmont County, Ohio","oh","050","00","ACSSF","0000019",,,,,"39","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1568,34,1534,1307,43,1264,16706,15521,1185,14649,13690,959,29970,28071,1899,900,729,171,64,64,0,151,122,29,90,84,6
"39015","05000US39015","Brown County, Ohio","Brown County, Ohio","oh","050","00","ACSSF","0000020",,,,,"39","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049,125,924,1132,60,1072,11150,10402,748,9308,8720,588,19994,18733,1261,144,94,50,47,47,0,69,69,0,135,121,14
"39017","05000US39017","Butler County, Ohio","Butler County, Ohio","oh","050","00","ACSSF","0000021",,,,,"39","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11815,255,11560,11793,212,11581,100314,94795,5519,90946,86070,4876,164327,156049,8278,15714,14444,1270,288,288,0,5624,5461,163,7435,6756,679
"39019","05000US39019","Carroll County, Ohio","Carroll County, Ohio","oh","050","00","ACSSF","0000022",,,,,"39","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745,119,626,638,62,576,7192,6792,400,6067,5845,222,13028,12420,608,25,11,14,19,19,0,33,33,0,112,112,0
"39021","05000US39021","Champaign County, Ohio","Champaign County, Ohio","oh","050","00","ACSSF","0000023",,,,,"39","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1210,206,1004,1002,3,999,10528,9609,919,9011,8510,501,18556,17248,1308,290,246,44,10,10,0,131,131,0,203,173,30
"39023","05000US39023","Clark County, Ohio","Clark County, Ohio","oh","050","00","ACSSF","0000024",,,,,"39","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3512,217,3295,3682,138,3544,33692,31010,2682,31780,29428,2352,57750,53604,4146,5299,4637,662,128,128,0,425,394,31,1831,1749,82
"39025","05000US39025","Clermont County, Ohio","Clermont County, Ohio","oh","050","00","ACSSF","0000025",,,,,"39","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5159,173,4986,4857,144,4713,55822,53287,2535,49118,47061,2057,100607,96272,4335,1505,1428,77,157,129,28,1317,1238,79,1739,1586,153
"39027","05000US39027","Clinton County, Ohio","Clinton County, Ohio","oh","050","00","ACSSF","0000026",,,,,"39","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,38,1082,1127,21,1106,10801,10075,726,9780,9148,632,19636,18365,1271,496,461,35,7,7,0,56,56,0,279,252,27
"39029","05000US39029","Columbiana County, Ohio","Columbiana County, Ohio","oh","050","00","ACSSF","0000027",,,,,"39","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521,186,2335,2172,138,2034,26612,24342,2270,22851,21395,1456,47712,44315,3397,589,459,130,13,13,0,88,88,0,795,681,114
"39031","05000US39031","Coshocton County, Ohio","Coshocton County, Ohio","oh","050","00","ACSSF","0000028",,,,,"39","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,955,119,836,677,81,596,9058,8411,647,7680,7202,478,16327,15217,1110,194,192,2,35,35,0,77,77,0,165,136,29
"39033","05000US39033","Crawford County, Ohio","Crawford County, Ohio","oh","050","00","ACSSF","0000029",,,,,"39","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910,51,859,1035,63,972,10368,9671,697,9440,8863,577,19370,18181,1189,176,144,32,22,22,0,68,53,15,230,228,2
"39035","05000US39035","Cuyahoga County, Ohio","Cuyahoga County, Ohio","oh","050","00","ACSSF","0000030",,,,,"39","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32813,1264,31549,30661,1236,29425,322899,291840,31059,322499,295890,26609,428876,405288,23588,173839,143237,30602,1499,1310,189,19819,18894,925,32585,29153,3432
"39037","05000US39037","Darke County, Ohio","Darke County, Ohio","oh","050","00","ACSSF","0000031",,,,,"39","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1375,3,1372,1209,34,1175,13848,13027,821,12120,11605,515,25302,23995,1307,190,178,12,72,72,0,128,122,6,282,250,32
"39039","05000US39039","Defiance County, Ohio","Defiance County, Ohio","oh","050","00","ACSSF","0000032",,,,,"39","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1202,26,1176,1050,40,1010,10406,9700,706,9238,8954,284,17868,17051,817,314,292,22,87,82,5,100,100,0,1749,1586,163
"39041","05000US39041","Delaware County, Ohio","Delaware County, Ohio","oh","050","00","ACSSF","0000033",,,,,"39","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407,104,5303,5104,52,5052,54501,53131,1370,47398,46084,1314,90845,88560,2285,3501,3383,118,82,82,0,5496,5314,182,2395,2301,94
"39043","05000US39043","Erie County, Ohio","Erie County, Ohio","oh","050","00","ACSSF","0000034",,,,,"39","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1785,50,1735,1775,47,1728,19898,18535,1363,18412,17290,1122,33571,31632,1939,2914,2529,385,140,140,0,238,209,29,1693,1486,207
"39045","05000US39045","Fairfield County, Ohio","Fairfield County, Ohio","oh","050","00","ACSSF","0000035",,,,,"39","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4474,134,4340,3852,108,3744,39828,37939,1889,35217,33315,1902,66904,63667,3237,5375,5076,299,100,82,18,1103,1034,69,1508,1394,114
"39047","05000US39047","Fayette County, Ohio","Fayette County, Ohio","oh","050","00","ACSSF","0000036",,,,,"39","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,748,83,665,593,2,591,7165,6606,559,6181,5904,277,12694,11940,754,317,290,27,0,0,0,96,96,0,203,163,40
"39049","05000US39049","Franklin County, Ohio","Franklin County, Ohio","oh","050","00","ACSSF","0000037",,,,,"39","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33015,1254,31761,31583,798,30785,353620,333066,20554,335489,316956,18533,489617,469602,20015,137864,122635,15229,1228,1070,158,31267,29967,1300,31249,29279,1970
"39051","05000US39051","Fulton County, Ohio","Fulton County, Ohio","oh","050","00","ACSSF","0000038",,,,,"39","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1237,7,1230,1200,117,1083,11510,10912,598,10526,9817,709,20713,19643,1070,50,30,20,51,42,9,64,64,0,1819,1615,204
"39053","05000US39053","Gallia County, Ohio","Gallia County, Ohio","oh","050","00","ACSSF","0000039",,,,,"39","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,38,799,722,124,598,6836,6426,410,5828,5504,324,12141,11448,693,280,248,32,15,15,0,49,49,0,267,267,0
"39055","05000US39055","Geauga County, Ohio","Geauga County, Ohio","oh","050","00","ACSSF","0000040",,,,,"39","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2804,420,2384,2581,461,2120,26565,25706,859,22273,21417,856,47568,45939,1629,484,456,28,61,61,0,357,342,15,548,477,71
"39057","05000US39057","Greene County, Ohio","Greene County, Ohio","oh","050","00","ACSSF","0000041",,,,,"39","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5200,120,5080,5424,83,5341,42988,40269,2719,38691,36769,1922,70629,67174,3455,6295,5376,919,94,54,40,2444,2365,79,2017,1838,179
"39059","05000US39059","Guernsey County, Ohio","Guernsey County, Ohio","oh","050","00","ACSSF","0000042",,,,,"39","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1033,6,1027,950,49,901,9494,8691,803,8490,7763,727,17457,15964,1493,106,75,31,43,43,0,84,84,0,171,171,0
"39061","05000US39061","Hamilton County, Ohio","Hamilton County, Ohio","oh","050","00","ACSSF","0000043",,,,,"39","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21937,658,21279,20728,604,20124,216717,201109,15608,207242,193278,13964,301232,286960,14272,100268,86855,13413,528,474,54,10324,9723,601,11661,11147,514
"39063","05000US39063","Hancock County, Ohio","Hancock County, Ohio","oh","050","00","ACSSF","0000044",,,,,"39","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075,33,2042,2178,3,2175,20698,19753,945,19013,18175,838,37141,35609,1532,656,578,78,39,39,0,629,629,0,1947,1804,143
"39065","05000US39065","Hardin County, Ohio","Hardin County, Ohio","oh","050","00","ACSSF","0000045",,,,,"39","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1226,8,1218,1188,2,1186,8026,7394,632,7203,6796,407,14773,13831,942,106,87,19,5,5,0,76,76,0,227,140,87
"39067","05000US39067","Harrison County, Ohio","Harrison County, Ohio","oh","050","00","ACSSF","0000046",,,,,"39","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471,55,416,313,0,313,3903,3684,219,3152,3023,129,6727,6436,291,165,117,48,13,13,0,34,34,0,60,60,0
"39069","05000US39069","Henry County, Ohio","Henry County, Ohio","oh","050","00","ACSSF","0000047",,,,,"39","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,809,25,784,610,36,574,7484,7096,388,6673,6431,242,13559,12959,600,54,42,12,30,30,0,69,65,4,994,937,57
"39071","05000US39071","Highland County, Ohio","Highland County, Ohio","oh","050","00","ACSSF","0000048",,,,,"39","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111,128,983,1087,89,998,10145,9397,748,8704,8071,633,18267,16950,1317,199,164,35,9,4,5,69,69,0,191,191,0
"39073","05000US39073","Hocking County, Ohio","Hocking County, Ohio","oh","050","00","ACSSF","0000049",,,,,"39","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,801,29,772,699,12,687,7193,6600,593,6384,5971,413,13285,12296,989,118,104,14,13,13,0,19,16,3,78,78,0
"39075","05000US39075","Holmes County, Ohio","Holmes County, Ohio","oh","050","00","ACSSF","0000050",,,,,"39","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1584,743,841,1494,760,734,12252,11975,277,8175,7882,293,20167,19651,516,15,15,0,11,11,0,12,12,0,225,193,32
"39077","05000US39077","Huron County, Ohio","Huron County, Ohio","oh","050","00","ACSSF","0000051",,,,,"39","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573,110,1463,1325,79,1246,15332,14316,1016,13391,12745,646,27261,25781,1480,367,256,111,43,31,12,78,78,0,1777,1562,215
"39079","05000US39079","Jackson County, Ohio","Jackson County, Ohio","oh","050","00","ACSSF","0000052",,,,,"39","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,886,37,849,761,11,750,7909,7029,880,7246,6482,764,14739,13152,1587,92,92,0,0,0,0,12,12,0,141,124,17
"39081","05000US39081","Jefferson County, Ohio","Jefferson County, Ohio","oh","050","00","ACSSF","0000053",,,,,"39","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1687,44,1643,1618,37,1581,15637,14157,1480,14414,13522,892,27891,25765,2126,1516,1321,195,46,46,0,125,125,0,301,254,47
"39083","05000US39083","Knox County, Ohio","Knox County, Ohio","oh","050","00","ACSSF","0000054",,,,,"39","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,240,1778,2001,135,1866,15731,14830,901,14504,13659,845,29306,27620,1686,318,316,2,72,55,17,115,115,0,477,391,86
"39085","05000US39085","Lake County, Ohio","Lake County, Ohio","oh","050","00","ACSSF","0000055",,,,,"39","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5587,161,5426,5355,32,5323,63795,60123,3672,59807,57555,2252,114409,109219,5190,4523,4146,377,115,104,11,1625,1566,59,4397,4031,366
"39087","05000US39087","Lawrence County, Ohio","Lawrence County, Ohio","oh","050","00","ACSSF","0000056",,,,,"39","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1631,56,1575,1417,68,1349,13673,12676,997,12631,11931,700,25370,23732,1638,555,543,12,0,0,0,105,77,28,219,211,8
"39089","05000US39089","Licking County, Ohio","Licking County, Ohio","oh","050","00","ACSSF","0000057",,,,,"39","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4757,182,4575,4874,118,4756,45448,42760,2688,42754,40270,2484,82235,77454,4781,3237,2980,257,163,136,27,1032,1015,17,1357,1257,100
"39091","05000US39091","Logan County, Ohio","Logan County, Ohio","oh","050","00","ACSSF","0000058",,,,,"39","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363,121,1242,1182,108,1074,12260,11592,668,10270,9626,644,21452,20254,1198,387,315,72,56,56,0,239,233,6,312,244,68
"39093","05000US39093","Lorain County, Ohio","Lorain County, Ohio","oh","050","00","ACSSF","0000059",,,,,"39","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8671,576,8095,7921,250,7671,77395,71611,5784,74067,69223,4844,133293,125161,8132,10595,9131,1464,480,413,67,1287,1254,33,12586,11142,1444
"39095","05000US39095","Lucas County, Ohio","Lucas County, Ohio","oh","050","00","ACSSF","0000060",,,,,"39","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11760,438,11322,10875,452,10423,110176,99712,10464,106160,98241,7919,163250,153200,10050,37275,30767,6508,462,378,84,3770,3558,212,13517,12176,1341
"39097","05000US39097","Madison County, Ohio","Madison County, Ohio","oh","050","00","ACSSF","0000061",,,,,"39","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1102,52,1050,963,44,919,10650,10077,573,9270,8761,509,19061,18123,938,358,278,80,35,24,11,199,184,15,234,208,26
"39099","05000US39099","Mahoning County, Ohio","Mahoning County, Ohio","oh","050","00","ACSSF","0000062",,,,,"39","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5421,227,5194,5518,141,5377,58029,52941,5088,54636,50477,4159,93404,87911,5493,15079,11844,3235,374,282,92,959,950,9,5114,4410,704
"39101","05000US39101","Marion County, Ohio","Marion County, Ohio","oh","050","00","ACSSF","0000063",,,,,"39","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457,32,1425,1372,52,1320,14724,13531,1193,13421,12389,1032,26419,24508,1911,801,661,140,33,26,7,195,195,0,442,329,113
"39103","05000US39103","Medina County, Ohio","Medina County, Ohio","oh","050","00","ACSSF","0000064",,,,,"39","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4609,136,4473,4292,52,4240,50858,48847,2011,44280,42843,1437,91406,88207,3199,1262,1119,143,159,159,0,1098,1070,28,1686,1572,114
"39105","05000US39105","Meigs County, Ohio","Meigs County, Ohio","oh","050","00","ACSSF","0000065",,,,,"39","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,34,454,600,4,596,5315,4673,642,4604,4218,386,9694,8706,988,129,121,8,7,7,0,8,8,0,39,11,28
"39107","05000US39107","Mercer County, Ohio","Mercer County, Ohio","oh","050","00","ACSSF","0000066",,,,,"39","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230,37,1193,1100,19,1081,11645,11129,516,9918,9587,331,21012,20226,786,107,71,36,3,3,0,116,95,21,347,347,0
"39109","05000US39109","Miami County, Ohio","Miami County, Ohio","oh","050","00","ACSSF","0000067",,,,,"39","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2752,110,2642,2421,63,2358,28573,27171,1402,24526,23032,1494,50583,47793,2790,901,847,54,68,68,0,740,740,0,572,485,87
"39111","05000US39111","Monroe County, Ohio","Monroe County, Ohio","oh","050","00","ACSSF","0000068",,,,,"39","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350,13,337,295,67,228,3257,3035,222,2419,2306,113,5654,5322,332,2,2,0,0,0,0,6,6,0,9,7,2
"39113","05000US39113","Montgomery County, Ohio","Montgomery County, Ohio","oh","050","00","ACSSF","0000069",,,,,"39","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14401,479,13922,13067,390,12677,133136,122458,10678,128827,118656,10171,196872,184668,12204,51164,43933,7231,494,446,48,5556,5323,233,6212,5582,630
"39115","05000US39115","Morgan County, Ohio","Morgan County, Ohio","oh","050","00","ACSSF","0000070",,,,,"39","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452,50,402,278,12,266,3327,3071,256,2847,2764,83,5849,5518,331,195,187,8,10,10,0,32,32,0,55,55,0
"39117","05000US39117","Morrow County, Ohio","Morrow County, Ohio","oh","050","00","ACSSF","0000071",,,,,"39","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060,24,1036,918,0,918,9225,8880,345,8477,8056,421,17520,16760,760,21,20,1,2,2,0,14,14,0,276,276,0
"39119","05000US39119","Muskingum County, Ohio","Muskingum County, Ohio","oh","050","00","ACSSF","0000072",,,,,"39","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2314,64,2250,2410,8,2402,20738,19165,1573,20214,18958,1256,38201,35693,2508,1343,1237,106,90,66,24,195,163,32,400,355,45
"39121","05000US39121","Noble County, Ohio","Noble County, Ohio","oh","050","00","ACSSF","0000073",,,,,"39","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,265,38,227,221,0,221,2118,2007,111,2238,2139,99,4300,4090,210,41,41,0,0,0,0,0,0,0,1,1,0
"39123","05000US39123","Ottawa County, Ohio","Ottawa County, Ohio","oh","050","00","ACSSF","0000074",,,,,"39","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915,0,915,988,11,977,10888,10289,599,9451,9059,392,19619,18719,900,199,146,53,4,4,0,44,44,0,913,856,57
"39125","05000US39125","Paulding County, Ohio","Paulding County, Ohio","oh","050","00","ACSSF","0000075",,,,,"39","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,474,6,468,461,12,449,5146,4930,216,4038,3791,247,8837,8407,430,74,69,5,8,8,0,51,51,0,346,340,6
"39127","05000US39127","Perry County, Ohio","Perry County, Ohio","oh","050","00","ACSSF","0000076",,,,,"39","127",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879,65,814,910,38,872,8728,7952,776,7545,7084,461,15889,14829,1060,35,30,5,45,45,0,18,18,0,155,135,20
"39129","05000US39129","Pickaway County, Ohio","Pickaway County, Ohio","oh","050","00","ACSSF","0000077",,,,,"39","129",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716,117,1599,1401,46,1355,13708,13088,620,12387,11648,739,25549,24216,1333,106,97,9,51,51,0,73,73,0,266,266,0
"39131","05000US39131","Pike County, Ohio","Pike County, Ohio","oh","050","00","ACSSF","0000078",,,,,"39","131",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790,54,736,617,32,585,6008,5411,597,5443,4906,537,10974,9897,1077,136,132,4,68,68,0,15,0,15,65,65,0
"39133","05000US39133","Portage County, Ohio","Portage County, Ohio","oh","050","00","ACSSF","0000079",,,,,"39","133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5800,178,5622,6571,93,6478,46191,42538,3653,42179,39511,2668,81064,75790,5274,3892,3317,575,166,131,35,1339,1191,148,1268,1184,84
"39135","05000US39135","Preble County, Ohio","Preble County, Ohio","oh","050","00","ACSSF","0000080",,,,,"39","135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1266,42,1224,989,35,954,11037,10402,635,9594,9035,559,20171,19025,1146,56,50,6,44,44,0,69,69,0,152,126,26
"39137","05000US39137","Putnam County, Ohio","Putnam County, Ohio","oh","050","00","ACSSF","0000081",,,,,"39","137",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874,5,869,823,13,810,9787,9537,250,8432,8161,271,17490,16994,496,84,66,18,3,3,0,44,44,0,862,855,7
"39139","05000US39139","Richland County, Ohio","Richland County, Ohio","oh","050","00","ACSSF","0000082",,,,,"39","139",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2993,179,2814,2669,194,2475,28290,25926,2364,26039,24306,1733,49415,46089,3326,3163,2589,574,85,67,18,396,383,13,645,557,88
"39141","05000US39141","Ross County, Ohio","Ross County, Ohio","oh","050","00","ACSSF","0000083",,,,,"39","141",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1906,95,1811,1436,41,1395,17608,16226,1382,15512,14366,1146,30890,28628,2262,955,911,44,0,0,0,267,267,0,261,253,8
"39143","05000US39143","Sandusky County, Ohio","Sandusky County, Ohio","oh","050","00","ACSSF","0000084",,,,,"39","143",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557,55,1502,1465,25,1440,15689,14925,764,14360,13509,851,27549,26336,1213,783,657,126,58,45,13,75,75,0,2789,2543,246
"39145","05000US39145","Scioto County, Ohio","Scioto County, Ohio","oh","050","00","ACSSF","0000085",,,,,"39","145",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055,40,2015,2002,20,1982,15617,14175,1442,14946,13988,958,29383,27089,2294,510,407,103,132,132,0,143,140,3,336,334,2
"39147","05000US39147","Seneca County, Ohio","Seneca County, Ohio","oh","050","00","ACSSF","0000086",,,,,"39","147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1820,17,1803,1726,17,1709,14464,13755,709,12980,12078,902,26315,24855,1460,476,366,110,27,27,0,112,108,4,1157,987,170
"39149","05000US39149","Shelby County, Ohio","Shelby County, Ohio","oh","050","00","ACSSF","0000087",,,,,"39","149",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,72,1398,1274,0,1274,14218,13379,839,11586,11051,535,24410,23221,1189,707,552,155,82,82,0,298,275,23,342,310,32
"39151","05000US39151","Stark County, Ohio","Stark County, Ohio","oh","050","00","ACSSF","0000088",,,,,"39","151",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10211,296,9915,9493,267,9226,98697,91879,6818,91365,85428,5937,170578,160649,9929,13181,10965,2216,219,205,14,1594,1594,0,3225,2555,670
